affected_vertices_max,affected_vertices_mean,affected_vertices_pct_max,affected_vertices_pct_mean,batch_suffix,batches,change_pct_of_total_edges,coms_file,dataset,display_regime,family,header_edges,header_nodes,hub_incident_edge_pct_mean,initial_edges,intra_community_edge_pct_mean,max_changes,max_node_id,metadata_avr_deg,metadata_dynamic_mode,metadata_hub_avr_deg,metadata_hub_fraction,metadata_k,metadata_max_deg,metadata_n,metadata_nonhub_avr_deg,min_node_id,out_file,planted_hub_endpoint_pct_mean,regime,seed,update_edges_max,update_edges_mean,update_edges_min,updates
14410,14393,14.41,14.393,5_batches,5,0.4996674626886245,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc14500-42/coms.dsbm-hubs-1024-58-mc14500-42.5_batches.npz,dsbm-hubs-1024-58-mc14500-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.8948275862068966,2843930,50.436206896551724,14500,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc14500-42/out.dsbm-hubs-1024-58-mc14500-42.5_batches,0.9674783920094228,hubs,42,14500,14500,14500,4
553,541.3030303030303,0.553,0.5413030303030303,100_batches,100,0.00999334925377249,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc290-42/coms.dsbm-hubs-1024-58-mc290-42.100_batches.npz,dsbm-hubs-1024-58-mc290-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.856495994427029,2873220,50.45977011494253,290,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc290-42/out.dsbm-hubs-1024-58-mc290-42.100_batches,0.9365243573361999,hubs,42,290,290,290,99
552,542.4444444444445,0.5519999999999999,0.5424444444444444,10_batches,10,0.00999334925377249,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc290-42/coms.dsbm-hubs-1024-58-mc290-42.10_batches.npz,dsbm-hubs-1024-58-mc290-42,hubs,dsbm-hubs-1024-58,2901930,100000,2.1839080459770117,2899320,50.689655172413794,290,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc290-42/out.dsbm-hubs-1024-58-mc290-42.10_batches,1.1673852790800932,hubs,42,290,290,290,9
552,541.25,0.5519999999999999,0.54125,5_batches,5,0.00999334925377249,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc290-42/coms.dsbm-hubs-1024-58-mc290-42.5_batches.npz,dsbm-hubs-1024-58-mc290-42,hubs,dsbm-hubs-1024-58,2901930,100000,2.586206896551724,2900770,50.775862068965516,290,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc290-42/out.dsbm-hubs-1024-58-mc290-42.5_batches,1.432634133093077,hubs,42,290,290,290,4
3808,3763.622448979592,3.8080000000000003,3.7636224489795915,100_batches,99,0.09993349253772489,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc2900-42/coms.dsbm-hubs-1024-58-mc2900-42.100_batches.npz,dsbm-hubs-1024-58-mc2900-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.7815740427145716,2619242,50.49650061753808,2900,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc2900-42/out.dsbm-hubs-1024-58-mc2900-42.100_batches,0.9382034458586171,hubs,42,2900,2884.5714285714284,1388,98
3800,3782,3.8,3.782,10_batches,10,0.09993349253772489,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc2900-42/coms.dsbm-hubs-1024-58-mc2900-42.10_batches.npz,dsbm-hubs-1024-58-mc2900-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.8314176245210727,2875830,50.417624521072796,2900,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc2900-42/out.dsbm-hubs-1024-58-mc2900-42.10_batches,0.9723467355202706,hubs,42,2900,2900,2900,9
3793,3782.25,3.7929999999999997,3.7822500000000003,5_batches,5,0.09993349253772489,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc2900-42/coms.dsbm-hubs-1024-58-mc2900-42.5_batches.npz,dsbm-hubs-1024-58-mc2900-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.8275862068965516,2890330,49.94827586206897,2900,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc2900-42/out.dsbm-hubs-1024-58-mc2900-42.5_batches,1.0112334671284715,hubs,42,2900,2900,2900,4
26035,25405.6,26.035000000000004,25.4056,100_batches,11,0.999334925377249,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc29000-42/coms.dsbm-hubs-1024-58-mc29000-42.100_batches.npz,dsbm-hubs-1024-58-mc29000-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.7820081659649702,2619242,50.48804538343148,29000,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc29000-42/out.dsbm-hubs-1024-58-mc29000-42.100_batches,0.9824415666529932,hubs,42,29000,28268.8,21688,10
26035,25965.333333333332,26.035000000000004,25.965333333333334,10_batches,10,0.999334925377249,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc29000-42/coms.dsbm-hubs-1024-58-mc29000-42.10_batches.npz,dsbm-hubs-1024-58-mc29000-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.7796934865900382,2640930,50.49770114942529,29000,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc29000-42/out.dsbm-hubs-1024-58-mc29000-42.10_batches,0.982498135942446,hubs,42,29000,29000,29000,9
26035,25991,26.035000000000004,25.990999999999996,5_batches,5,0.999334925377249,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc29000-42/coms.dsbm-hubs-1024-58-mc29000-42.5_batches.npz,dsbm-hubs-1024-58-mc29000-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.8094827586206896,2785930,50.568965517241374,29000,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc29000-42/out.dsbm-hubs-1024-58-mc29000-42.5_batches,0.9878318211608731,hubs,42,29000,29000,29000,4
